filename,approach,n,temperature,strategy,timestamp,accuracy
beam_search_dynamic_n16_20251206_030435_completions.jsonl,beam_search_dynamic,16,0.5,exp,20251206_030435,57.0
beam_search_dynamic_n16_20251206_033520_completions.jsonl,beam_search_dynamic,16,0.5,cosine,20251206_033520,56.0
beam_search_dynamic_n16_20251206_040757_completions.jsonl,beam_search_dynamic,16,0.8,exp,20251206_040757,53.0
beam_search_dynamic_n16_20251206_043843_completions.jsonl,beam_search_dynamic,16,0.8,cosine,20251206_043843,56.0
beam_search_dynamic_n16_20251206_050918_completions.jsonl,beam_search_dynamic,16,1.0,exp,20251206_050918,50.0
beam_search_dynamic_n16_20251206_054002_completions.jsonl,beam_search_dynamic,16,1.0,cosine,20251206_054002,56.0
beam_search_dynamic_n16_20251206_060722_completions.jsonl,beam_search_dynamic,16,2.0,exp,20251206_060722,52.0
beam_search_dynamic_n16_20251206_063806_completions.jsonl,beam_search_dynamic,16,2.0,cosine,20251206_063806,56.0
beam_search_dynamic_n4_20251206_003056_completions.jsonl,beam_search_dynamic,4,0.5,exp,20251206_003056,44.0
beam_search_dynamic_n4_20251206_004823_completions.jsonl,beam_search_dynamic,4,0.5,cosine,20251206_004823,49.0
beam_search_dynamic_n4_20251206_010633_completions.jsonl,beam_search_dynamic,4,0.8,exp,20251206_010633,44.0
beam_search_dynamic_n4_20251206_012359_completions.jsonl,beam_search_dynamic,4,0.8,cosine,20251206_012359,49.0
beam_search_dynamic_n4_20251206_014128_completions.jsonl,beam_search_dynamic,4,1.0,exp,20251206_014128,49.0
beam_search_dynamic_n4_20251206_015854_completions.jsonl,beam_search_dynamic,4,1.0,cosine,20251206_015854,49.0
beam_search_dynamic_n4_20251206_021405_completions.jsonl,beam_search_dynamic,4,2.0,exp,20251206_021405,47.0
beam_search_dynamic_n4_20251206_023132_completions.jsonl,beam_search_dynamic,4,2.0,cosine,20251206_023132,49.0
beam_search_dynamic_n64_20251206_095719_completions.jsonl,beam_search_dynamic,64,0.5,exp,20251206_095719,55.0
